Serial,Device_Type,first_seen_date,last_seen_date,total_days_observed,total_records,risk_score_current,risk_score_avg,risk_score_max,risk_score_min,risk_score_std,device_health_status,battery_current,battery_min,battery_max,battery_avg,battery_std,battery_readings_total,battery_readings_valid,battery_readings_negative,battery_readings_over100,battery_readings_nan,battery_data_quality_pct,battery_data_quality,expected_daily_drain,battery_drain_rate_per_day,drain_deviation,days_until_battery_critical,expected_battery_life_days,expected_battery_life_years,battery_low_days_count,battery_low_percentage,battery_warning_days_count,battery_drain_category,battery_data_issue,years_remaining,battery_health_category,risk_category,drain_category,days_since_last_comm,communication_status,not_communicating_7d,has_sensor_issue,projected_life_years,life_reduction_pct,remaining_life_category,less_than_10yr_life,is_slightly_draining,is_moderately_draining,is_fast_draining,is_critical_draining,needs_replacement_1year,needs_replacement_2year,schedule_replacement_3year,life_expectancy_category,estimated_days_remaining,critical_battery_30d,emergency_battery_7d,comm_risk_score,sensor_risk_score,battery_risk_score,drain_risk_score,overall_risk_score,priority_level
ZN17220409,ZM1,2025-09-13,2025-09-17,5,5,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,26,Stale (8-30d),True,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,20,0,0,0,6.0,Medium
RE27190027,ZM1,2025-09-13,2025-09-26,14,14,100.0,100.0,100.0,100.0,0.0,CRITICAL,66.67,66.67,66.67,66.66999999999999,1.4747300885539142e-14,14.0,14.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,46670.0,66670.0,182.65753424657532,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,17,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),66670.0,False,False,20,0,0,0,6.0,Medium
RE48180729,ZM1,2025-09-13,2025-09-26,14,14,100.0,100.0,100.0,100.0,0.0,CRITICAL,57.03,57.03,57.03,57.02999999999999,1.4747300885539142e-14,14.0,14.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,37030.0,57030.0,156.24657534246575,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,17,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),57030.0,False,False,20,0,0,0,6.0,Medium
RE48180775,ZM1,2025-09-13,2025-09-26,14,14,100.0,100.0,100.0,100.0,0.0,CRITICAL,54.7,54.7,54.7,54.70000000000001,7.373650442769571e-15,14.0,14.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,34700.0,54700.0,149.86301369863014,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,17,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),54700.0,False,False,20,0,0,0,6.0,Medium
RE27190066,ZM1,2025-09-13,2025-09-18,6,6,70.0,70.0,70.0,70.0,0.0,POOR,62.02,62.02,62.02,62.02,0.0,6.0,6.0,0.0,0.0,0.0,100.0,GOOD Short period (<7 days),0.0273972602739726,0.001,-0.0263972602739726,42020.0,62020.0,169.91780821917808,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,25,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),62020.0,False,False,20,0,0,0,6.0,Medium
RE25190237,ZM1,2025-09-13,2025-09-18,6,6,70.0,70.0,70.0,70.0,0.0,POOR,60.72,60.72,60.72,60.720000000000006,7.78360568894479e-15,6.0,6.0,0.0,0.0,0.0,100.0,GOOD Short period (<7 days),0.0273972602739726,0.001,-0.0263972602739726,40720.0,60720.0,166.35616438356163,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,25,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),60720.0,False,False,20,0,0,0,6.0,Medium
RE25190235,ZM1,2025-09-13,2025-09-18,6,6,70.0,70.0,70.0,70.0,0.0,POOR,56.24,56.24,56.24,56.24,0.0,6.0,6.0,0.0,0.0,0.0,100.0,GOOD Short period (<7 days),0.0273972602739726,0.001,-0.0263972602739726,36240.0,56240.0,154.08219178082192,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,25,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),56240.0,False,False,20,0,0,0,6.0,Medium
RE25190230,ZM1,2025-09-13,2025-09-18,6,6,70.0,70.0,70.0,70.0,0.0,POOR,56.96,56.96,56.96,56.96,0.0,6.0,6.0,0.0,0.0,0.0,100.0,GOOD Short period (<7 days),0.0273972602739726,0.001,-0.0263972602739726,36960.0,56960.0,156.05479452054794,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,25,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),56960.0,False,False,20,0,0,0,6.0,Medium
RE27190007,ZM1,2025-09-13,2025-09-26,14,14,70.0,70.0,70.0,70.0,0.0,POOR,60.95,60.95,60.95,60.95000000000002,2.2120951328308716e-14,14.0,14.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,40950.0,60950.0,166.986301369863,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,17,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),60950.0,False,False,20,0,0,0,6.0,Medium
RE37190790,ZM1,2025-09-13,2025-09-26,14,14,70.0,70.0,70.0,70.0,0.0,POOR,63.22,63.22,63.22,63.22000000000001,1.4747300885539142e-14,14.0,14.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,43220.0,63220.0,173.2054794520548,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,17,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),63220.0,False,False,20,0,0,0,6.0,Medium
RE38182042,ZM1,2025-09-13,2025-10-02,20,20,70.0,70.0,70.0,70.0,0.0,POOR,65.66,65.66,65.66,65.66000000000001,1.4580029302424492e-14,20.0,20.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,45659.99999999999,65660.0,179.8904109589041,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,11,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),65660.0,False,False,20,0,0,0,6.0,Medium
RE38182034,ZM1,2025-09-13,2025-10-02,20,20,70.0,70.0,70.0,70.0,0.0,POOR,66.79,66.79,66.79,66.78999999999999,1.4580029302424492e-14,20.0,20.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,46790.00000000001,66790.0,182.986301369863,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,11,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),66790.0,False,False,20,0,0,0,6.0,Medium
RE38182075,ZM1,2025-09-13,2025-10-02,20,20,70.0,70.0,70.0,70.0,0.0,POOR,67.34,67.34,67.34,67.33999999999999,1.4580029302424492e-14,20.0,20.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,47340.0,67340.0,184.4931506849315,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,11,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),67340.0,False,False,20,0,0,0,6.0,Medium
RE48180766,ZM1,2025-09-13,2025-09-26,14,14,70.0,70.0,70.0,70.0,0.0,POOR,63.85,63.85,63.85,63.85000000000001,7.373650442769571e-15,14.0,14.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,43850.0,63850.0,174.93150684931507,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,17,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),63850.0,False,False,20,0,0,0,6.0,Medium
RE48180764,ZM1,2025-09-13,2025-09-26,14,14,70.0,70.0,70.0,70.0,0.0,POOR,51.79,51.79,51.79,51.78999999999999,1.4747300885539142e-14,14.0,14.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,31790.0,51790.0,141.8904109589041,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,17,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),51790.0,False,False,20,0,0,0,6.0,Medium
RE48180757,ZM1,2025-09-13,2025-09-26,14,14,70.0,70.0,70.0,70.0,0.0,POOR,64.88,64.88,64.88,64.88,0.0,14.0,14.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,44879.99999999999,64879.99999999999,177.75342465753425,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,17,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),64879.99999999999,False,False,20,0,0,0,6.0,Medium
RE48180879,ZM1,2025-09-13,2025-10-02,20,20,70.0,70.0,70.0,70.0,0.0,POOR,55.18,55.18,55.18,55.17999999999999,7.290014651212246e-15,20.0,20.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,35180.0,55180.0,151.17808219178082,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,11,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),55180.0,False,False,20,0,0,0,6.0,Medium
RE48180873,ZM1,2025-09-13,2025-10-02,20,20,70.0,70.0,70.0,70.0,0.0,POOR,54.16,54.16,54.16,54.16,7.290014651212246e-15,20.0,20.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,34159.99999999999,54159.99999999999,148.3835616438356,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,11,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),54159.99999999999,False,False,20,0,0,0,6.0,Medium
RE48180862,ZM1,2025-09-13,2025-10-02,20,20,70.0,70.0,70.0,70.0,0.0,POOR,54.83,54.83,54.83,54.83,0.0,20.0,20.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,34830.0,54830.0,150.21917808219175,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,11,Stale (8-30d),True,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),54830.0,False,False,20,0,0,0,6.0,Medium
